id,municipio,uri,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,lat,lon,nivel,parent_uri
1,Ajalvir,ajalvir-madrid,,,40.53423,-3.480782,municipio,
2,Alameda del Valle,alameda-del-valle-madrid,,,40.917718,-3.843822,municipio,
3,Alcalá de Henares,alcala-de-henares-madrid,2786.6,13.39,40.481954,-3.363981,municipio,
4,Alcobendas,alcobendas-madrid,3962.42,16.14,40.540008,-3.635849,municipio,
5,Alcorcón,alcorcon-madrid,3259.44,14.16,40.3493,-3.828429,municipio,
6,Aldea del Fresno,aldea-del-fresno-madrid,,,40.321521,-4.19936,municipio,
7,Algete,algete-madrid,2345.43,,40.59613,-3.497448,municipio,
8,Alpedrete,alpedrete-madrid,2619.9,,40.659926,-4.025136,municipio,
9,Ambite,ambite-madrid,,,40.328972,-3.181211,municipio,
10,Anchuelo,anchuelo-madrid,,,40.465386,-3.26892,municipio,
11,Aranjuez,aranjuez-madrid,2191.2,11.79,40.032229,-3.60401,municipio,
12,Arganda,arganda-madrid,2534.13,13.08,40.300791,-3.438163,municipio,
13,Arroyomolinos,arroyomolinos-madrid,2585.95,,40.272922,-3.915798,municipio,
14,Atazar,atazar-madrid,,,40.934349,-3.471092,municipio,
15,Batres,batres-madrid,,,40.209139,-3.921595,municipio,
16,Becerril de la Sierra,becerril-de-la-sierra-madrid,2245.27,,40.716352,-3.98907,municipio,
17,Belmonte de Tajo,belmonte-de-tajo-madrid,,,40.133631,-3.339865,municipio,
18,Berzosa del Lozoya,berzosa-del-lozoya-madrid,,,40.97578,-3.523674,municipio,
19,Boadilla del Monte,boadilla-del-monte-madrid,3924.06,13.55,40.405349,-3.876466,municipio,
20,Braojos,braojos-madrid,,,41.040012,-3.642589,municipio,
21,Brea de Tajo,brea-de-tajo-madrid,,,40.229825,-3.109452,municipio,
22,Brunete,brunete-madrid,2665.13,,40.40505,-3.997991,municipio,
23,Buitrago del Lozoya,buitrago-del-lozoya-madrid,,,40.995348,-3.63505,municipio,
